"data","valor"
"2025-08-27",5.4428
"2025-08-28",5.4115
"2025-08-29",5.4264
"2025-09-01",5.4378
"2025-09-02",5.468
"2025-09-03",5.4485
"2025-09-04",5.4587
"2025-09-05",5.3968
"2025-09-08",5.4278
"2025-09-09",5.4278
"2025-09-10",5.4123
"2025-09-11",5.3858
"2025-09-12",5.3677
"2025-09-15",5.3208
"2025-09-16",5.3096
"2025-09-17",5.3011
"2025-09-18",5.301
"2025-09-19",5.3276
"2025-09-22",5.3457
"2025-09-23",5.3063
"2025-09-24",5.3112
"2025-09-25",5.3425
"2025-09-26",5.3445
"2025-09-29",5.3229
"2025-09-30",5.3186
"2025-10-01",5.3208
"2025-10-02",5.3449
"2025-10-03",5.3498
"2025-10-06",5.3226
"2025-10-07",5.3363
"2025-10-08",5.3427
"2025-10-09",5.3538
"2025-10-10",5.4446
"2025-10-13",5.4629
"2025-10-14",5.4982
"2025-10-15",5.4464
"2025-10-16",5.4354
"2025-10-17",5.439
"2025-10-20",5.3771
"2025-10-21",5.3848
"2025-10-22",5.3898
"2025-10-23",5.384
"2025-10-24",5.3797
"2025-10-27",5.3744
"2025-10-28",5.369
"2025-10-29",5.3416
"2025-10-30",5.385
"2025-10-31",5.3843
"2025-11-03",5.3505
"2025-11-04",5.3846
"2025-11-05",5.3798
"2025-11-06",5.3451
"2025-11-07",5.3567
"2025-11-10",5.3181
"2025-11-11",5.2729
"2025-11-12",5.2885
"2025-11-13",5.282
"2025-11-14",5.2952
"2025-11-17",5.3108
"2025-11-18",5.3361
"2025-11-19",5.3346
"2025-11-21",5.3902
"2025-11-24",5.3948
"2025-11-25",5.3841
"2025-11-26",5.3694
"2025-11-27",5.349
"2025-11-28",5.3338
"2025-12-01",5.3469
"2025-12-02",5.3465
"2025-12-03",5.3114
"2025-12-04",5.2952
"2025-12-05",5.3405
"2025-12-08",5.4249
"2025-12-09",5.457
"2025-12-10",5.4656
"2025-12-11",5.4237
"2025-12-12",5.4011
"2025-12-15",5.3929
"2025-12-16",5.4505
"2025-12-17",5.5093
"2025-12-18",5.5283
"2025-12-19",5.516
"2025-12-22",5.5389
"2025-12-23",5.5643
"2025-12-24",5.535
"2025-12-26",5.5413
"2025-12-29",5.5739
"2025-12-30",5.5024
"2025-12-31",5.5024
"2026-01-02",5.4372
"2026-01-05",5.4351
"2026-01-06",5.3797
"2026-01-07",5.388
"2026-01-08",5.386
"2026-01-09",5.3707
"2026-01-12",5.376
"2026-01-13",5.3764
"2026-01-14",5.3795
"2026-01-15",5.3846
"2026-01-16",5.3798
"2026-01-19",5.3653
"2026-01-20",5.379
"2026-01-21",5.3368
"2026-01-22",5.3118
"2026-01-23",5.2879
"2026-01-26",5.276
"2026-01-27",5.2392
"2026-01-28",5.1838
"2026-01-29",5.1956
"2026-01-30",5.2301
"2026-02-02",5.2587
"2026-02-03",5.2236
"2026-02-04",5.2359
"2026-02-05",5.258
"2026-02-06",5.2341
"2026-02-09",5.1943
"2026-02-10",5.2021
"2026-02-11",5.1836
"2026-02-12",5.1674
"2026-02-13",5.2288
"2026-02-18",5.2349
"2026-02-19",5.2257
"2026-02-20",5.2006
"2026-02-23",5.1635
"2026-02-24",5.1682
"2026-02-25",5.144
"2026-02-26",5.1382
"2026-02-27",5.1495
"2026-03-02",5.2001
"2026-03-03",5.287
"2026-03-04",5.2091
"2026-03-05",5.2447
"2026-03-06",5.2878
"2026-03-09",5.2139
"2026-03-10",5.1622
"2026-03-11",5.1596
"2026-03-12",5.2051
"2026-03-13",5.2541
"2026-03-16",5.2647
"2026-03-17",5.2022
"2026-03-18",5.2112
"2026-03-19",5.2587
"2026-03-20",5.28
"2026-03-23",5.244
"2026-03-24",5.2599
"2026-03-25",5.2275
"2026-03-26",5.2308
"2026-03-27",5.2376
"2026-03-30",5.2353
"2026-03-31",5.2194
"2026-04-01",5.1606
"2026-04-02",5.1655
"2026-04-06",5.1532
"2026-04-07",5.1625
"2026-04-08",5.0899
"2026-04-09",5.0821
"2026-04-10",5.0229
"2026-04-13",5.0244
"2026-04-14",4.9806
"2026-04-15",4.9928
"2026-04-16",5.0007
"2026-04-17",4.9695
"2026-04-20",4.9844
"2026-04-22",4.9653
"2026-04-23",4.9539
"2026-04-24",5.0083
"2026-04-27",4.97
"2026-04-28",4.9878
"2026-04-29",4.9985
