data,valor
2025-03-01,114.02633
2025-04-01,112.58856
2025-05-01,108.55662
2025-06-01,107.36878
2025-07-01,113.10359
2025-08-01,110.38013
2025-09-01,109.48882
2025-10-01,110.06407
2025-11-01,106.59541
2025-12-01,107.19319
2026-01-01,103.78191
2026-02-01,106.77083
2026-03-01,118.00063
2026-04-01,113.89942
2026-05-01,109.53002
2026-06-01,109.89427
