"data","valor"
"2023-06-01",102.4398
"2023-07-01",102.89895
"2023-08-01",102.48797
"2023-09-01",102.50227
"2023-10-01",102.83037
"2023-11-01",103.58799
"2023-12-01",104.88262
"2024-01-01",104.47589
"2024-02-01",104.67291
"2024-03-01",104.68779
"2024-04-01",104.6751
"2024-05-01",105.5521
"2024-06-01",106.65779
"2024-07-01",107.01873
"2024-08-01",107.16697
"2024-09-01",108.02415
"2024-10-01",108.23273
"2024-11-01",107.99539
"2024-12-01",107.3722
"2025-01-01",108.10202
"2025-02-01",108.64347
"2025-03-01",110.0586
"2025-04-01",109.59971
"2025-05-01",108.80425
"2025-06-01",108.90168
"2025-07-01",108.39998
"2025-08-01",108.79892
"2025-09-01",108.7209
"2025-10-01",108.73364
"2025-11-01",109.24151
"2025-12-01",109.46142
"2026-01-01",110.07661
"2026-02-01",110.77581
"2026-03-01",110.60765
"2026-04-01",110.90086
"2026-05-01",110.93102
"2026-06-01",110.22154
